Date,County,Crop,Yield_Tons,Rainfall_mm,Temperature_C,Price_KSH_per_kg,Area_Planted_Hectares,Fertilizer_Used_kg
2019-01-31,Nakuru,Maize,2650.6,65.0,21.5,37.6,3909.0,1519.1
2019-01-31,Nakuru,Wheat,1426.7,0.7,22.3,83.5,3657.5,1409.9
2019-01-31,Nakuru,Rice,4761.3,17.5,21.3,78.1,4843.6,877.7
2019-01-31,Nakuru,Beans,5276.8,54.2,17.6,61.2,2143.3,1610.4
2019-01-31,Nakuru,Potatoes,5534.0,34.5,24.3,56.8,2671.1,838.7
2019-01-31,Uasin Gishu,Maize,4437.7,29.7,22.5,85.6,3009.6,1843.1
2019-01-31,Uasin Gishu,Wheat,1600.6,48.9,22.2,73.2,1983.8,596.0
2019-01-31,Uasin Gishu,Rice,5450.1,20.2,22.4,86.9,3236.9,1541.8
2019-01-31,Uasin Gishu,Beans,4210.5,31.9,18.4,92.0,2683.6,1522.6
2019-01-31,Uasin Gishu,Potatoes,5377.3,43.9,22.0,68.3,4150.1,753.3
2019-01-31,Trans Nzoia,Maize,2281.7,17.0,25.0,48.8,2561.6,1453.4
2019-01-31,Trans Nzoia,Wheat,2550.7,32.4,25.0,79.9,3778.9,759.8
2019-01-31,Trans Nzoia,Rice,5655.7,56.2,23.8,91.1,3442.5,1218.3
2019-01-31,Trans Nzoia,Beans,3639.0,24.9,18.7,76.5,2160.6,760.8
2019-01-31,Trans Nzoia,Potatoes,5156.7,41.3,25.4,78.8,1918.7,1916.9
2019-01-31,Meru,Maize,2894.4,29.4,20.5,89.9,2963.6,1857.1
2019-01-31,Meru,Wheat,4140.6,37.4,24.4,45.3,3811.5,1267.6
2019-01-31,Meru,Rice,2647.0,48.9,27.3,51.4,2021.3,1813.4
2019-01-31,Meru,Beans,2013.8,59.2,21.4,32.1,3100.2,1189.8
2019-01-31,Meru,Potatoes,1584.3,62.1,24.7,79.3,3294.3,1995.3
2019-01-31,Kiambu,Maize,3790.3,40.8,23.1,47.2,2867.3,1913.1
2019-01-31,Kiambu,Wheat,4688.8,56.4,20.2,94.1,3265.9,1611.8
2019-01-31,Kiambu,Rice,5820.0,49.8,18.2,73.3,1534.1,1765.2
2019-01-31,Kiambu,Beans,2437.3,61.4,22.5,31.8,3049.0,1232.9
2019-01-31,Kiambu,Potatoes,6018.3,64.6,23.0,58.1,4786.0,1154.0
2019-01-31,Machakos,Maize,5381.9,43.6,21.8,56.6,2168.5,728.4
2019-01-31,Machakos,Wheat,4966.4,37.3,21.2,91.5,4490.4,1151.7
2019-01-31,Machakos,Rice,3447.4,38.7,28.6,73.4,2613.1,1185.1
2019-01-31,Machakos,Beans,6543.7,56.1,23.0,79.5,1111.6,648.5
2019-01-31,Machakos,Potatoes,4093.4,33.6,19.0,69.0,2262.3,1497.9
2019-02-28,Nakuru,Maize,2798.1,44.5,20.6,51.7,3709.2,1157.5
2019-02-28,Nakuru,Wheat,3122.6,37.5,23.0,48.9,1654.6,952.3
2019-02-28,Nakuru,Rice,2613.0,45.4,19.7,55.9,3455.9,703.5
2019-02-28,Nakuru,Beans,4833.2,34.5,22.3,69.0,2660.8,622.3
2019-02-28,Nakuru,Potatoes,1849.1,54.8,21.4,80.4,1831.7,1251.7
2019-02-28,Uasin Gishu,Maize,2152.7,37.7,22.0,79.9,3465.8,1354.5
2019-02-28,Uasin Gishu,Wheat,2948.9,8.2,22.1,55.4,1390.0,1715.4
2019-02-28,Uasin Gishu,Rice,1868.1,38.8,20.1,95.5,4563.6,849.9
2019-02-28,Uasin Gishu,Beans,2272.2,34.3,21.2,40.2,2923.0,1412.9
2019-02-28,Uasin Gishu,Potatoes,2151.5,32.4,19.6,64.2,1883.6,1231.8
2019-02-28,Trans Nzoia,Maize,1779.4,45.1,18.0,79.4,3498.7,1845.4
2019-02-28,Trans Nzoia,Wheat,4459.9,24.1,21.1,84.0,4543.8,843.2
2019-02-28,Trans Nzoia,Rice,1055.8,0.0,24.6,63.2,1906.4,1288.8
2019-02-28,Trans Nzoia,Beans,2271.4,37.1,17.0,75.0,3452.0,1265.9
2019-02-28,Trans Nzoia,Potatoes,2764.1,29.2,22.0,74.5,3038.8,753.5
2019-02-28,Meru,Maize,4427.9,66.8,25.2,48.1,4246.3,1131.8
2019-02-28,Meru,Wheat,2331.8,37.6,21.6,82.2,2439.0,1088.3
2019-02-28,Meru,Rice,3441.5,42.2,19.0,76.1,1721.9,596.6
2019-02-28,Meru,Beans,5041.9,52.8,20.5,74.7,2201.1,1836.9
2019-02-28,Meru,Potatoes,4968.3,41.2,17.1,62.0,2622.3,545.4
2019-02-28,Kiambu,Maize,4868.0,41.4,22.1,65.3,2198.8,1186.0
2019-02-28,Kiambu,Wheat,4895.9,69.8,23.5,66.5,3238.0,860.4
